# torch_bench: torch=2.13.0+cpu threads_swept=[1, 2, 4, 8, 16] cuda_available=False python=3.12.10
workload                   dtype  thr  inner   median_ms      p99_ms      min_ms      max_ms  result
matmul_512                   f32    8     57      0.8118      1.5910      0.6079      1.5910  -10759.041992 <- best
matmul_512                   f32   16     17      1.5833      3.5496      0.7332      3.5496  -10759.041992
matmul_1024                  f64    1      1     54.6252     78.8044     49.9247     78.8044  8858.236854
matmul_1024                  f64    2      1     27.6112     38.1346     25.2550     38.1346  8858.236854
matmul_1024                  f64    4      2     15.6544     17.6747     15.0040     17.6747  8858.236854
matmul_1024                  f64    8      4     10.9676     12.5024      9.3364     12.5024  8858.236854
matmul_1024                  f64   16      4      9.6140     14.9003      7.4821     14.9003  8858.236854 <- best
matmul_1024                  f32    1      1     26.5912     32.5337     22.0332     32.5337  8858.242188
matmul_1024                  f32    2      2     14.3757     16.0840     13.1724     16.0840  8858.240234
matmul_1024                  f32    4      3      7.6533     14.0595      6.7947     14.0595  8858.242188
matmul_1024                  f32    8      4      6.9113      9.9835      4.6608      9.9835  8858.239258
matmul_1024                  f32   16      3      5.4846      6.7071      4.2269      6.7071  8858.232422 <- best
matmul_512_grad              f64    1      2     14.0344     16.7508     13.3533     16.7508  -90047.059937
matmul_512_grad              f64    2      3      7.7211      8.6238      7.0432      8.6238  -90047.059937
matmul_512_grad              f64    4      5      4.2679      4.7420      3.9749      4.7420  -90047.059937
matmul_512_grad              f64    8     11      2.5789      4.0391      2.2629      4.0391  -90047.059937 <- best
matmul_512_grad              f64   16     14      3.2795      4.9791      2.6896      4.9791  -90047.059937
matmul_512_grad              f32    1      4      6.7941      8.1649      4.7862      8.1649  -90047.140625
matmul_512_grad              f32    2      7      3.5977      4.0267      3.3051      4.0267  -90047.140625
matmul_512_grad              f32    4     12      1.9302      2.3227      1.7811      2.3227  -90047.125000
matmul_512_grad              f32    8     12      1.3121      2.1686      1.1092      2.1686  -90047.156250 <- best
matmul_512_grad              f32   16     15      1.6629      1.9746      1.4215      1.9746  -90047.156250
mc_option_fwd                f64    1     23      0.5928      0.8270      0.5126      0.8270  10.460652
mc_option_fwd                f64    2     82      0.3373      0.3860      0.3013      0.3860  10.460652
mc_option_fwd                f64    4    154      0.2097      0.2631      0.1902      0.2631  10.460652
mc_option_fwd                f64    8    190      0.1589      0.2660      0.1470      0.2660  10.460652 <- best
mc_option_fwd                f64   16     94      0.3512      0.4421      0.3096      0.4421  10.460652
mc_option_fwd                f32    1    126      0.2422      0.3041      0.1851      0.3041  10.460651
mc_option_fwd                f32    2    174      0.1622      0.1900      0.1525      0.1900  10.460651
mc_option_fwd                f32    4    198      0.1194      0.1667      0.1055      0.1667  10.460651
mc_option_fwd                f32    8    179      0.1160      0.1578      0.1011      0.1578  10.460652 <- best
mc_option_fwd                f32   16    142      0.2907      0.3933      0.2390      0.3933  10.460652
mc_option_grad               f64    1      8      3.2384      5.4592      2.4931      5.4592  38.191806
mc_option_grad               f64    2     16      1.7315      2.1349      1.3558      2.1349  38.191806
mc_option_grad               f64    4     17      1.0824      1.4661      0.9311      1.4661  38.191806
mc_option_grad               f64    8     20      0.9244      1.3820      0.8076      1.3820  38.191806 <- best
mc_option_grad               f64   16     21      2.0771      3.5215      1.4590      3.5215  38.191806
mc_option_grad               f32    1      7      1.3637      2.4624      1.0460      2.4624  38.191807
mc_option_grad               f32    2     25      1.0380      1.2676      0.8879      1.2676  38.191807
mc_option_grad               f32    4     27      0.7308      0.8257      0.6422      0.8257  38.191807
mc_option_grad               f32    8     41      0.6888      0.8330      0.6203      0.8330  38.191807 <- best
mc_option_grad               f32   16     32      1.7234      3.5027      1.0952      3.5027  38.191807
mlp_train_step               f64    1     11      2.7770      4.6762      1.8243      4.6762  0.043308
mlp_train_step               f64    2     13      1.6950      2.9033      1.3795      2.9033  0.043308
mlp_train_step               f64    4     25      1.1100      1.7427      0.9807      1.7427  0.043308
mlp_train_step               f64    8     21      1.0887      1.4524      0.8739      1.4524  0.043308 <- best
mlp_train_step               f64   16     17      1.5006      4.0730      1.0837      4.0730  0.043308
mlp_train_step               f32    1     13      1.2341      1.8616      0.9070      1.8616  0.043308
mlp_train_step               f32    2     36      0.8287      1.1160      0.7494      1.1160  0.043308
mlp_train_step               f32    4     44      0.6343      0.7786      0.5595      0.7786  0.043308
mlp_train_step               f32    8     35      0.5600      0.7185      0.4997      0.7185  0.043308 <- best
mlp_train_step               f32   16     23      0.9099      1.3088      0.7728      1.3088  0.043308
